RA;Código_turma;Nome_Disciplina
11201720786;NA1NHZ1027-15SA;FARMACOLOGIA
11201720822;NA1ESZE097-17SA;ARMAZENAMENTO DE ENERGIA ELÉTRICA
11201720824;DA1ESZI014-17SA;SISTEMAS INTELIGENTES
11201720824;DA1MCZA023-17SA;REDES CONVERGENTES
11201720824;DA1ESZI029-17SA;REDES WAN DE BANDA LARGA
11201720824;DA1MCZA035-17SA;ALGORITMOS PROBABILÍSTICOS
11201720846;DA1NHZ6012-18SA;EMPREENDEDORISMO E PLANEJAMENTO DE PROJETOS EM BIOTECNOLOGIA
11201720846;DB1ESTO013-17SA;ENGENHARIA ECONÔMICA
11201720848;NA1ESZI027-17SA;INFORMAÇÃO E SOCIEDADE
11201720848;NA1MCTA004-17SA;ARQUITETURA DE COMPUTADORES
11201720848;NB1ESTI017-17SA;FUNDAMENTOS DE ELETROMAGNETISMO APLICADO
11201720848;DC1ESMA002-23SA;INOVAÇÕES PARA ENGENHARIA
11201720924;DA1BCK0104-15SA;INTERAÇÕES ATÔMICAS E MOLECULARES
11201720950;DA1ESAE010-23SB;FUNDAMENTOS DE NAVEGAÇÃO INERCIAL E GNSS
11201720950;DB1ESTG021-17SB;SISTEMAS CAD/CAE
11201720950;DA1ESZS012-17SB;APLICAÇÕES DE ELEMENTOS FINITOS PARA ENGENHARIA
11201720950;NA1ESTO016-17SA;FENÔMENOS DE TRANSPORTE
11201720950;DA1ESAE012-23SB;LABORATÓRIO DE NAVEGAÇÃO INERCIAL E GNSS
11201720950;DI1MCZA002-17SB;APRENDIZADO DE MÁQUINA
11201720998;NA1NHZ4079-20SA;FILOSOFIA DA QUÍMICA
11201721004;NA1ESTI002-17SA;ELETRÔNICA DIGITAL
11201721004;NA1ESTE019-17SA;INSTALAÇÕES ELÉTRICAS I
11201721020;DA1NHT1068-15SA;EVOLUÇÃO E DIVERSIDADE DE PLANTAS II
11201721052;NA1BIS0005-15SB;BASES COMPUTACIONAIS DA CIÊNCIA
11201721064;NA1NHZ4079-20SA;FILOSOFIA DA QUÍMICA
11201721080;NA1BCK0103-15SA;FÍSICA QUÂNTICA
11201721114;NA1ESTS001-17SB;DINÂMICA I
11201721130;NC1ESTO013-17SA;ENGENHARIA ECONÔMICA
11201721132;NA1NHI2049-13SB;LÓGICA BÁSICA
11201721132;NA1MCZC022-20SB;PSICOMETRIA
11201721132;NA1MCZC013-15SB;MEMÓRIA E APRENDIZAGEM
11201721132;NA1ESZG012-17SB;PROJETOS INDUSTRIAIS
11201721134;NA1ESZU029-17SA;HISTÓRIA DA CIDADE E DO URBANISMO
11201721138;NA1ESTG008-17SB;GERÊNCIA DE ATIVOS
