Código da matéria;Nome da completo matéria;Campus;Horários;Docente teoria;Docente pratica;Arquivo_Origem
NA1BIL0304-15SA;EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA;SA;"Teoria: sexta das 19:00 às 21:00, quinzenal I; terça das 21:00 às 23:00, semanal";ANTONIO SERGIO KIMUS BRAZ;-;Resultados da classificação_.pdf
NA1NHZ1027-15SA;FARMACOLOGIA;SA;"Teoria: segunda das 19:00 às 23:00, semanal; quarta das 21:00 às 23:00, semanal";ELIZABETH TEODOROV;MONICA HELENA MONTEIRO DO NASCIMENTO;Resultados da classificação_.pdf
NA1ESTO016-17SA;FENÔMENOS DE TRANSPORTE;SA;"Teoria: quarta das 19:00 às 21:00, semanal; sexta das 21:00 às 23:00, semanal";JOAO VICENTE AKWA;-;Resultados da classificação_.pdf
NA1BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS;SA;"Teoria: quinta das 19:00 às 21:00, semanal; segunda das 21:00 às 23:00, semanal | Prática: quinta das 21:00 às 23:00, quinzenal I";FRANCISCO EUGENIO MENDONCA DA SILVEIRA;DIEGO EDISON LOPEZ SILVA;Resultados da classificação_.pdf
NA2BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: quinta das 21:00 às 23:00, quinzenal II";FRANCISCO EUGENIO MENDONCA DA SILVEIRA;DIEGO EDISON LOPEZ SILVA;Resultados da classificação_.pdf
NA3BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: quinta das 21:00 às 23:00, quinzenal I";WANIUS JOSE GARCIA DA SILVA;WANIUS JOSE GARCIA DA SILVA;Resultados da classificação_.pdf
NA4BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: quinta das 21:00 às 23:00, quinzenal II";WANIUS JOSE GARCIA DA SILVA;WANIUS JOSE GARCIA DA SILVA;Resultados da classificação_.pdf
NB1BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: quinta das 19:00 às 21:00, quinzenal I";FRANCISCO EUGENIO MENDONCA DA SILVEIRA;VITOR HUGO PASCHOAL;Resultados da classificação_.pdf
NB2BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: quinta das 19:00 às 21:00, quinzenal II";FRANCISCO EUGENIO MENDONCA DA SILVEIRA;VITOR HUGO PASCHOAL;Resultados da classificação_.pdf
NA10BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal I";DIEGO EDISON LOPEZ SILVA;DIEGO EDISON LOPEZ SILVA;Resultados da classificação_.pdf
NA11BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal II";DIEGO EDISON LOPEZ SILVA;DIEGO EDISON LOPEZ SILVA;Resultados da classificação_.pdf
NA12BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal II";DIEGO EDISON LOPEZ SILVA;RONALDO SAVIOLI SUME VIEIRA;Resultados da classificação_.pdf
NA1BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal I";FLAVIO LEANDRO DE SOUZA(CEDIDO );MAURO ROGERIO COSENTINO;Resultados da classificação_.pdf
NA2BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal II";FLAVIO LEANDRO DE SOUZA(CEDIDO );MAURO ROGERIO COSENTINO;Resultados da classificação_.pdf
