BC&T 2023						BC&T 2015 - 2017						BAC. COMPUTAÇÃO 2017						BAC. COMPUTAÇÃO 2023						BAC. DADOS 2024						ENG. IAR  2023						ENG. INFORMAÇÃO 2023						ENG. AERO 2023						ENG. GESTÃO 2023						ENG. MATERIAIS 2023						ENG. AMBIENTAL 2023						BAC. BIOTEC 2023						ENG. BIOMED 2023						ENG. ENERGIA 2023						BAC. NEUROCIÊNCIA 2023						BAC. FÍSICA 2023						BAC. MATEMÁTICA 2023						BAC. QUÍMICA 2023						BAC. BIOLÓGICAS 2023						BC&H 2020						BAC. ECONOMIA 2023						BAC. RI 2022						BAC. POLÍTICAS PÚBLICAS 2023						BAC, PLAN. TERRITORIAL 2022					
OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	Obrigatórias	Limitadas	Livres	Horas Complementares (Preencher)	Extensionistas (Preencher)	Carga total	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL
		INTRODUCAO AOS SISTEMAS ELETRICOS DE POTENCIA	48					COMUNICACAO, CIENCIA E TECNOLOGIA	36																																																																							MATERIAIS E TECNOLOGIAS DE CONVERSÃO FOTOVOLTAICA	24											TECNOLOGIA DO VÁCUO E CRIOGENIA	48																	TOXICOLOGIA	72					PARTICIPAÇÃO, MOVIMENTOS SOCIAIS E POLÍTICAS PÚBLICAS	48					DESENVOLVIMENTO HUMANO E POBREZA URBANA	48					PENSAMENTO E CINEMA	48					GOVERNANÇA, POLÍTICAS PÚBLICAS E RESISTÊNCIA EM TEMPOS DE CRISES MÚLTIPLAS	48								
		INSTALACOES ELETRICAS I	48					COMUNICACOES MOVEIS	48																																																																							IMPACTOS ECONÔMICOS E SOCIOAMBIENTAIS DA GERAÇÃO FOTOVOLTAICA	24											TEORIA CLÁSSICA DOS CAMPOS	48																	VIROLOGIA	48					PODER LOCAL	48					INFORMÁTICA APLICADA AO PLANEJAMENTO TERRITORIAL	48					TEORIA DAS CIÊNCIAS HUMANAS	48					NOVAS ABORDAGENS TEÓRICAS EM POLÍTICAS PÚBLICAS	48								
		OPERACAO DE SISTEMAS ELETRICOS DE POTENCIA	48					COMUNICACOES OPTICAS	48																																																																							ELETRIFICAÇÃO RURAL COM RECURSOS ENERGÉTICOS RENOVÁVEIS	48											TEORIA DE GRUPOS EM FÍSICA	48																	ASTROBIOLOGIA	48					POLÍTICAS PÚBLICAS PARA SOCIEDADE DA INFORMAÇÃO	48					MODELOS ECONÔMICOS E ANÁLISE DAS DINÂMICAS TERRITORIAIS	48											PERIFERIAS URBANAS, DIREITO À CIDADE E POLÍTICAS PÚBLICAS	48								
		TERMODINAMICA APLICADA II	48					CONFLITOS NO CIBERESPACO: ATIVISMO E GUERRA NAS REDES CIBERNETICAS	48																																																																							POLÍTICA ENERGÉTICA	48											TÓPICOS EM FÍSICA TEÓRICA	48																	BIOLOGIA REPRODUTIVA DE PLANTAS	48					TEORIA E GESTÃO DE ORGANIZAÇÕES PÚBLICAS	48					ALGORITMOS E ESTRUTURAS DE DADOS I	48											POLÍTICA PREVIDENCIÁRIA, INTERESSES ORGANIZADOS E PROCESSO DECISÓRIO	48								
		MECANICA DOS FLUIDOS II	48					CONHECIMENTO E TECNICA: PERSPECTIVAS DA ANTIGUIDADE E PERIODO MEDIEVAL	48																																																																							PROJETO DE MICROTURBINAS EÓLICAS	24											TÓPICOS EM FÍSICA EXPERIMENTAL	48																	BIOQUÍMICA CLÍNICA	72					PLANEJAMENTO ORÇAMENTÁRIO	48					PROGRAMAÇÃO MATEMÁTICA	48											POLÍTICAS PÚBLICAS DE JUVENTUDE	48								
		TRANSFERENCIA DE CALOR II	48					CONSERVACAO DA BIODIVERSIDADE	48																																																																							PROJETO DE GERADORES ELÉTRICOS PARA ENERGIA EÓLICA	24											MECÂNICA CLÁSSICA III	48																	MODELAGEM MOLECULAR DE SISTEMAS BIOLÓGICOS	48					AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS	48					PROGRAMAÇÃO ESTRUTURADA	48											POLÍTICAS PÚBLICAS E DESIGUALDADES DE GÊNERO E RAÇA	48								
		SISTEMAS TERMICOS	48					CONSTRUCOES GEOMETRICAS E GEOMETRIA METRICA	48																																																																							EFICIÊNCIA ENERGÉTICA INDUSTRIAL	48											ELETROMAGNETISMO III	48																	REPRODUÇÃO ASSISTIDA EM MAMÍFEROS	48					PODER LEGISLATIVO E PROCESSO DECISÓRIO	48					BANCO DE DADOS	48											TÓPICOS ESPECIAIS EM POLÍTICAS PÚBLICAS	48								
		FUNDAMENTOS DE CONVERSAO DE ENERGIA ELETRICA	48					CULTURA, DEMOCRACIA E CIDADANIA	24																																																																							DESAFIOS DO PRÉ-SAL E A INSERÇÃO INTERNACIONAL DO BRASIL	48											MECÂNICA QUÂNTICA III	48																	TÉCNICAS APLICADAS A PROCESSOS BIOTECNOLÓGICOS	72					TCC DE POLÍTICAS PÚBLICAS I	48					ÁLGEBRA LINEAR	72											PRÁTICAS EXTENSIONISTAS EM POLÍTICAS PÚBLICAS	48								
		FUNDAMENTOS DE SISTEMAS DINAMICOS	48					CUSTOS	72																																																																							ENERGIA NUCLEAR E RELAÇÕES INTERNACIONAIS	48											EQUAÇÕES DIFERENCIAIS PARCIAIS APLICADAS	48																	TRABALHOS DE CAMPO, COLETA E PRESERVAÇÃO DE ORGANISMOS	48					TCC DE POLÍTICAS PÚBLICAS II	48					ANÁLISE REAL I	48											PRÁTICAS EXTENSIONISTAS EM POLÍTICAS PÚBLICAS II	48								
		INSTALACOES ELETRICAS II	48					DESAFIOS DO PRE-SAL E A INSERCAO INTERNACIONAL DO BRASIL	48																																																																							TRAJETÓRIA DA OPEP E DA AGÊNCIA INTERNACIONAL DE ENERGIA (IEA)	48											LABORATÓRIO DE FÍSICA MÉDICA	36																	IMUNOLOGIA APLICADA	48					ANÁLISE DA CONJUNTURA INTERNACIONAL CONTEMPORÂNEA	48					CÁLCULO NUMÉRICO	48											PRÁTICAS EXTENSIONISTAS EM POLÍTICAS PÚBLICAS III	48								
		TRANSFERENCIA DE CALOR I	48					DESEMPENHO DE AERONAVES	48																																																																							TRAJETÓRIA DE DESENVOLVIMENTO DE PAÍSES EXPORTADORES DE PETRÓLEO	48											LASERS E ÓPTICA MODERNA	48																	HISTÓRIA DAS CIÊNCIAS NO BRASIL	48					DIREITO INTERNACIONAL PÚBLICO	48					MATEMÁTICA DISCRETA	48											CLÍNICA DE DIREITOS HUMANOS E POLÍTICAS PÚBLICAS	48								
		FUNDAMENTOS DE MAQUINAS TERMICAS	48					DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA	24																																																																							GEOMORFOLOGIA	36											CRISTALOGRAFIA E DIFRAÇÃO DE RAIOS X	48																	FILOSOFIA DA CIÊNCIA	48					ECONOMIA POLÍTICA DA SEGURANÇA ALIMENTAR GLOBAL	48					SEQUÊNCIAS E SÉRIES	48											INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA	48								
		LABORATORIO DE MAQUINAS TERMICAS E HIDRAULICAS	24					DESENVOLVIMENTO E APRENDIZAGEM	48																																																																							APROVEITAMENTO ENERGÉTICO DO HIDROGÊNIO	36											INTRODUÇÃO À FÍSICA ESTELAR	48																	HISTÓRIA E FILOSOFIA DA BIOLOGIA	48					ECONOMIA POLÍTICA INTERNACIONAL DA ENERGIA	48					TOPOLOGIA	48																				
		LABORATORIO DE CALOR E FLUIDOS	24					DESENVOLVIMENTO E SUSTENTABILIDADE	48																																																																							ESTRUTURA E ORGANIZAÇÃO DO SETOR ENERGÉTICO	24											FÍSICA DO MEIO AMBIENTE	48																	EFEITOS BIOLÓGICOS DAS RADIAÇÕES	48					ESTADO E DESENVOLVIMENTO ECONÔMICO NO BRASIL CONTEMPORÂNEO	48					PSICOLOGIA COGNITIVA	48																				
		ENGENHARIA NUCLEAR	48					DESENVOLVIMENTO INTEGRADO DO PRODUTO	48																																																																							TECNOLOGIAS EMERGENTES DE CONVERSÃO ENERGÉTICA	24											PROPRIEDADES MAGNÉTICAS E ELETRÔNICAS	48																	MICROSCOPIA ELETRÔNICA	48					FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA	48					BANCO DE DADOS DE APOIO À TOMADA DE DECISÃO	48																				
		ENGENHARIA DE COMBUSTIVEIS FOSSEIS	48					DIDATICA	48																																																																							FUNÇÕES E REAÇÕES ORGÂNICAS	48											QUÍMICA DOS MATERIAIS	72																	FÍSICA DO MEIO AMBIENTE	48					GEOGRAFIA POLÍTICA	48					SISTEMAS DE GERENCIAMENTO DE BANCO DE DADOS	48																				
		ENGENHARIA DE PETROLEO E GAS	48					DINAMICA DE GASES	72																																																																							INTRODUÇÃO À FÍSICA NUCLEAR	48																													MEIO AMBIENTE E INDÚSTRIA	24					GLOBALIZAÇÃO E OS PROCESSOS DE INTEGRAÇÃO REGIONAL	48					SISTEMAS DE INFORMAÇÃO	48																				
		ENGENHARIA DE RECURSOS HIDRICOS	48					DINAMICA DOS INVESTIMENTOS PRODUTIVOS INTERNACIONAIS	48																																																																																																					FERMENTAÇÃO INDUSTRIAL	48					INTRODUÇÃO AO ESTUDO DO DIREITO	48					ANÁLISE MULTIVARIADA	48																				
		ENGENHARIA SOLAR TERMICA	48					DINAMICA E CONTROLE DE VEICULOS ESPACIAIS	48																																																																																																					FUNDAMENTOS DA BIOTECNOLOGIA	24					POLÍTICA INTERNACIONAL DOS EUA E DA UNIÃO EUROPEIA	48					INTRODUÇÃO À ANÁLISE ESTOCÁSTICA EM FINANÇAS	48																				
		ENGENHARIA SOLAR FOTOVOLTAICA	48					DINAMICA I	36																																																																																																					NANOBIOTECNOLOGIA	48					RELAÇÕES INTERNACIONAIS E GLOBALIZAÇÃO	48					INTRODUÇÃO À ESTATÍSTICA BAYESIANA	48																				
		ENGENHARIA DE BIOCOMBUSTIVEIS	48					DINAMICAS TERRITORIAIS NO BRASIL	24																																																																																																					ENZIMOLOGIA E BIOCATÁLISE	72					SEGURANÇA INTERNACIONAL EM PERSPECTIVA HISTÓRICA E DESAFIOS CONTEMPORÂNEOS	48					INTRODUÇÃO À MODELAGEM E PROCESSOS ESTOCÁSTICOS	48																				
		ENGENHARIA EOLICA	48					DISPOSITIVOS ELETRONICOS	60																																																																																																					LABORATÓRIO DE BIOPROCESSOS	48					SISTEMA FINANCEIRO INTERNACIONAL: DE BRETTON WOODS AO NON-SISTEMA	48					MÉTODOS NUMÉRICOS EM EDO'S	48																				
		ECONOMIA DA ENERGIA	48					DIVERSIDADE DE GENERO E FORMACAO DE PROFESSOR	48																																																																																																					PROTEÍNAS RECOMBINANTES	48					SISTEMA ONU E OS DESAFIOS DO MULTILATERALISMO	48					PROCESSOS ESTOCÁSTICOS	48																				
		TRABALHO DE GRADUACAO I EM ENGENHARIA DE ENERGIA	24					ECOLOGIA COMPORTAMENTAL	48																																																																																																					SEGURANÇA E REGULAMENTAÇÃO EM BIOTECNOLOGIA	24					SOCIEDADE CIVIL ORGANIZADA GLOBAL	48					TEORIA DOS JOGOS	48																				
		TRABALHO DE GRADUACAO II EM ENGENHARIA DE ENERGIA	24					ECOLOGIA DO AMBIENTE URBANO	24																																																																																																					ENGENHARIA METABÓLICA	48					SURGIMENTO DA CHINA COMO POTÊNCIA MUNDIAL	48					TOMADA DE DECISÕES E NEUROECONOMIA	48																				
		TRABALHO DE GRADUACAO III EM ENGENHARIA DE ENERGIA	24					ECOLOGIA VEGETAL	48																																																																																																					BIOLOGIA SINTÉTICA	24					ABORDAGENS TRADICIONAIS DAS RELAÇÕES INTERNACIONAIS	48					ÉTICA CONTEMPORÂNEA	48																				
		ESTAGIO CURRICULAR EM ENGENHARIA DE ENERGIA	168					ECONOMIA DA ENERGIA	48																																																																																																					GENÔMICA E PÓS-GENÔMICA	72					PENSAMENTO CRÍTICO DAS RELAÇÕES INTERNACIONAIS	48					FILOSOFIA POLÍTICA	48																				
		CUSTOS	72					ECONOMIA DE EMPRESAS	24																																																																																																					BIOTECNOLOGIA HUMANA	48					HISTÓRIA DA POLÍTICA EXTERNA BRASILEIRA	48					HISTÓRIA DA FILOSOFIA CONTEMPORÂNEA: O SÉCULO XX	48																				
		DESENVOLVIMENTO INTEGRADO DO PRODUTO	48					ECONOMIA DO TERRITORIO	48																																																																																																					EMPREENDEDORISMO E PLANEJAMENTO DE PROJETOS EM BIOTECNOLOGIA	48					POLÍTICA EXTERNA BRASILEIRA CONTEMPORÂNEA	48					LÓGICA BÁSICA	48																				
		ECONOMIA DE EMPRESAS	24					ECONOMIA POLITICA DA SEGURANCA ALIMENTAR GLOBAL	48																																																																																																					BIOTECNOLOGIA ANIMAL	48					HISTÓRIA DO TERCEIRO MUNDO	48					LIBRAS	48																				
		ELABORACAO, ANALISE E AVALIACAO DE PROJETOS	48					ECONOMIA POLITICA INTERNACIONAL DA ENERGIA	48																																																																																																					BIOTECNOLOGIA AMBIENTAL E AGROINDUSTRIAL	48					TRAJETÓRIAS INTERNACIONAIS DO CONTINENTE AFRICANO	48					PENSAMENTO MARXISTA E SEUS DESDOBRAMENTOS CONTEMPORÂNEOS	48																				
		ENGENHARIA LABORAL	48					ECONOMIA, SOCIEDADE E MEIO AMBIENTE	36																																																																																																											REGIME INTERNACIONAL DOS DIREITOS HUMANOS E A ATUAÇÃO BRASILEIRA	48					TEORIA DAS CIÊNCIAS HUMANAS	48																				
		ENGENHARIA LOGISTICA	48					EDUCACAO AMBIENTAL	48																																																																																																											ANÁLISE DE POLÍTICA EXTERNA	48																										
		GESTAO DE OPERACOES	48					EDUCACAO CIENTIFICA, SOCIEDADE E CULTURA	48																																																																																																											ECONOMIA POLÍTICA INTERNACIONAL	48																										
		INOVACAO TECNOLOGICA	48					EDUCACAO EM SAUDE E SEXUALIDADE	36																																																																																																											TRABALHO DE CONCLUSÃO DE CURSO DE RELAÇÕES INTERNACIONAIS I	24																										
		ESTATISTICA APLICADA A SISTEMAS DE GESTAO	48					EDUCACAO INCLUSIVA	24																																																																																																											TRABALHO DE CONCLUSÃO DE CURSO DE RELAÇÕES INTERNACIONAIS II	24																										
		PESQUISA OPERACIONAL	72					EFEITOS BIOLOGICOS DAS RADIACOES	48																																																																																																											METODOLOGIA DE PESQUISA EM RELAÇÕES INTERNACIONAIS (TCC 1)	48																										
		PLANEJAMENTO E CONTROLE DA PRODUCAO	72					EFEITOS BIOLOGICOS DAS RADIACOES NAO IONIZANTES	48																																																																																																											ARRANJOS INSTITUCIONAIS E MARCO REGULATÓRIO DO TERRITÓRIO	24																										
		QUALIDADE EM SISTEMAS	48					ELABORACAO, ANALISE E AVALIACAO DE PROJETOS	48																																																																																																											CARTOGRAFIA E GEOPROCESSAMENTO PARA O PLANEJAMENTO TERRITORIAL	60																										
		TECNOLOGIA DA INFORMACAO	24					ELEMENTOS FINITOS	48																																																																																																											DEMOGRAFIA	48																										
		TEMPOS, METODOS E ARRANJOS FISICOS	48					ELETRIFICACAO RURAL COM RECURSOS ENERGETICOS RENOVAVEIS	48																																																																																																											ECONOMIA DO TERRITÓRIO	48																										
		SISTEMAS E PROCESSOS DE PRODUCAO	48					ELETROANALITICA E TECNICAS DE SEPARACAO	72																																																																																																											ECONOMIA URBANA	48																										
		SISTEMAS CAD/CAE	48					ELETROMAGNETISMO APLICADO	48																																																																																																											ESTUDOS DO MEIO FÍSICO	48																										
		SISTEMAS CAM	48					ELETROMAGNETISMO I	48																																																																																																											GOVERNANÇA PÚBLICA, DEMOCRACIA E POLÍTICAS NO TERRITÓRIO	48																										
		ORGANIZACAO DO TRABALHO	24					ELETROMAGNETISMO II	48																																																																																																											HISTÓRIA DA CIDADE E DO URBANISMO	48																										
		PROPRIEDADE INTELECTUAL	48					ELETRONICA ANALOGICA APLICADA	60																																																																																																											MÉTODOS DE PLANEJAMENTO	48																										
		TRABALHO DE GRADUACAO I EM ENGENHARIA DE GESTAO	24					ELETRONICA DIGITAL	72																																																																																																											MÉTODOS E TÉCNICAS DE ANÁLISE DE INFORMAÇÃO PARA O PLANEJAMENTO	48																										
		TRABALHO DE GRADUACAO II EM ENGENHARIA DE GESTAO	24					ELETROQUIMICA E CINETICA QUIMICA	72																																																																																																											MOBILIZAÇÃO PRODUTIVA DOS TERRITÓRIOS E DESENVOLVIMENTO LOCAL	48																										
		TRABALHO DE GRADUACAO III EM ENGENHARIA DE GESTAO	24					EMPREENDEDORISMO	48																																																																																																											OFICINA DE PLANEJAMENTO MACRO E MESO REGIONAL	48																										
		ESTAGIO CURRICULAR EM ENGENHARIA DE GESTAO	168					EMPREENDEDORISMO E DESENVOLVIMENTO DE NEGOCIOS	48																																																																																																											OFICINA DE PLANEJAMENTO DE ÁREAS PERIURBANAS, INTERIORANAS E RURAIS	48																										
		PROGRAMACAO DE SOFTWARE EMBARCADO	48					EMPREENDEDORISMO E PLANEJAMENTO DE PROJETOS EM BIOTECNOLOGIA	48																																																																																																											OFICINA DE PLANEJAMENTO URBANO	48																										
		ELETRONICA DIGITAL	72					ENERGIA DOS OCEANOS	48																																																																																																											OFICINA DE PLANEJAMENTO E GOVERNANÇA METROPOLITANA	48																										
		TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES	48					ENERGIA E MEIO AMBIENTE	36																																																																																																											PLANEJAMENTO E POLÍTICA AMBIENTAL	48																										
		PRINCIPIOS DE COMUNICACAO	48					ENERGIA GEOTERMICA	24																																																																																																											PLANEJAMENTO E POLÍTICA REGIONAL	48																										
		SINAIS ALEATORIOS	48					ENERGIA NUCLEAR E RELACOES INTERNACIONAIS	48																																																																																																											PLANEJAMENTO E POLÍTICA RURAL	48																										
		PROCESSAMENTO DIGITAL DE SINAIS	48					ENERGIA, MEIO AMBIENTE E SOCIEDADE	48																																																																																																											POLÍTICA METROPOLITANA	48																										
		COMUNICACAO DIGITAL	48					ENERGIA: FONTES E TECNOLOGIAS DE CONVERSAO	48																																																																																																											POLÍTICA URBANA	48																										
		TEORIA DA INFORMACAO E CODIGOS	48					ENGENHARIA APLICADA A SISTEMAS BIOLOGICOS I	60																																																																																																											SOCIOLOGIA DOS TERRITÓRIOS	48																										
		COMUNICACOES OPTICAS	48					ENGENHARIA DE BIOCOMBUSTIVEIS	48																																																																																																											USO DO SOLO URBANO	48																										
		PROPAGACAO E ANTENAS	48					ENGENHARIA DE COMBUSTIVEIS FOSSEIS	48																																																																																																											DESENVOLVIMENTO ECONÔMICO E SOCIAL NO BRASIL	48																										
		SISTEMAS MICROPROCESSADOS	48					ENGENHARIA DE GESTAO	24																																																																																																											MEIO AMBIENTE E POLÍTICAS PÚBLICAS	48																										
		TELEFONIA FIXA MODERNA	48					ENGENHARIA DE PETROLEO E GAS	48																																																																																																											LEGISLAÇÃO RELACIONADA À SAÚDE	24																										
		COMUNICACOES MOVEIS	48					ENGENHARIA DE REABILITACAO E BIOFEEDBACK	48																																																																																																											PRINCÍPIOS DE ÉTICA EM SERVIÇOS DE SAÚDE	24																										
		FUNDAMENTOS DE ELETROMAGNETISMO APLICADO	48					ENGENHARIA DE RECURSOS HIDRICOS	48																																																																																																											ENERGIA, MEIO AMBIENTE E SOCIEDADE	48																										
		ONDAS ELETROMAGNETICAS APLICADAS	48					ENGENHARIA DE SOFTWARE	48																																																																																																											ECONOMIA DA ENERGIA	48																										
		CODIFICACAO DE SINAIS MULTIMIDIA	48					ENGENHARIA ECONOMICA	48																																																																																																											CUSTOS	72																										
		TEORIA DE FILAS E ANALISE DE DESEMPENHO	48					ENGENHARIA ECONOMICA APLICADA A ENGENHARIA DE GESTAO	48																																																																																																											ECONOMIA DE EMPRESAS	24																										
		TRABALHO DE GRADUACAO I EM ENGENHARIA DE INFORMACAO	24					ENGENHARIA EOLICA	48																																																																																																											INOVAÇÃO TECNOLÓGICA	48																										
		TRABALHO DE GRADUACAO II EM ENGENHARIA DE INFORMACAO	24					ENGENHARIA LABORAL	48																																																																																																											ESTATÍSTICA APLICADA A SISTEMAS DE GESTÃO	48																										
		TRABALHO DE GRADUACAO III EM ENGENHARIA DE INFORMACAO	24					ENGENHARIA LOGISTICA	48																																																																																																											PESQUISA OPERACIONAL	72																										
		ESTAGIO CURRICULAR EM ENGENHARIA DE INFORMACAO	168					ENGENHARIA NUCLEAR	48																																																																																																											ORGANIZAÇÃO DO TRABALHO	24																										
		ESTADO SOLIDO	48					ENGENHARIA SOLAR FOTOVOLTAICA	48																																																																																																											PROPRIEDADE INTELECTUAL	48																										
		TOPICOS EXPERIMENTAIS EM MATERIAIS I	48					ENGENHARIA SOLAR TERMICA	48																																																																																																											PRINCÍPIOS DE ADMINISTRAÇÃO	24																										
		TOPICOS COMPUTACIONAIS EM MATERIAIS	48					ENGENHARIA UNIFICADA (ENGENHARIA NUCLEAR)	36																																																																																																											ENGENHARIA ECONÔMICA	48																										
		CIENCIA DOS MATERIAIS	48					ENGENHARIA UNIFICADA I	24																																																																																																											CARTOGRAFIA E GEOPROCESSAMENTO	48																										
		MATERIAIS METALICOS	48					ENGENHARIA UNIFICADA II	24																																																																																																											CLIMATOLOGIA	36																										
		MATERIAIS POLIMERICOS	48					ENSINO DE MORFOFISIOLOGIA HUMANA	48																																																																																																											POLUIÇÃO ATMOSFÉRICA	36																										
		MATERIAIS CERAMICOS	48					ENZIMOLOGIA E BIOCATALISE	72																																																																																																											SAÚDE AMBIENTAL	24																										
		MATERIAIS COMPOSITOS	48					EQUACOES DIFERENCIAIS ORDINARIAS	48																																																																																																											TEORIA DO PLANEJAMENTO URBANO E AMBIENTAL	36																										
		TERMODINAMICA ESTATISTICA DE MATERIAIS	48					EQUACOES DIFERENCIAIS PARCIAIS	48																																																																																																											TRANSPORTES E MOBILIDADE URBANA	24																										
		PROPRIEDADES MECANICAS E TERMICAS	48					EQUACOES DIFERENCIAIS PARCIAIS APLICADAS	48																																																																																																											BIOMAS BRASILEIROS	36																										
		PROPRIEDADES ELETRICAS, MAGNETICAS E OPTICAS	48					EQUIPAMENTOS MEDICO-HOSPITALARES	60																																																																																																											REPRESENTAÇÃO GRÁFICA DE PROJETOS AMBIENTAIS E URBANOS	48																										
		REOLOGIA I	24					ERGONOMIA COGNITIVA	48																																																																																																											REGULAÇÃO AMBIENTAL E URBANÍSTICA	24																										
		SELECAO DE MATERIAIS	48					ESCOAMENTO COMPRESSIVEL	48																																																																																																											ECONOMIA INSTITUCIONAL II	48																										
		CARACTERIZACAO DE MATERIAIS	48					ESPECTROSCOPIA	72																																																																																																											ANÁLISE ECONÔMICA DE PROJETOS	48																										
		TERMODINAMICA DE MATERIAIS	48					ESTABILIDADE E CONTROLE DE AERONAVES	48																																																																																																											ECONOMIA INDUSTRIAL	48																										
		TRABALHO DE GRADUACAO I EM ENGENHARIA DE MATERIAIS	24					ESTADO E DESENVOLVIMENTO ECONOMICO NO BRASIL CONTEMPORANEO	48																																																																																																											ELETRIFICAÇÃO RURAL COM RECURSOS ENERGÉTICOS RENOVÁVEIS	48																										
		TRABALHO DE GRADUACAO II EM ENGENHARIA DE MATERIAIS	24					ESTADO E RELACOES DE PODER	48																																																																																																											INFORMAÇÃO E SOCIEDADE	24																										
		TRABALHO DE GRADUACAO III EM ENGENHARIA DE MATERIAIS	24					ESTADO SOLIDO	48																																																																																																											PROGRAMAÇÃO BASEADA EM COMPONENTES PARA JOGOS	48																										
		ESTAGIO CURRICULAR EM ENGENHARIA DE MATERIAIS	168					ESTADOS LIMITE DE SISTEMAS NATURAIS	48																																																																																																											INTRODUÇÃO À LINGUÍSTICA COMPUTACIONAL	48																										
		CIRCUITOS ELETRICOS E FOTONICA	48					ESTAGIO CURRICULAR EM ENGENHARIA AEROESPACIAL	0																																																																																																											POLÍTICAS PÚBLICAS SUL-AMERICANAS	48																										
		FUNDAMENTOS DE DESENHO E PROJETO	48					ESTAGIO CURRICULAR EM ENGENHARIA AMBIENTAL E URBANA	0																																																																																																											ECONOMIA, SOCIEDADE E MEIO AMBIENTE	36																										
		INSTRUMENTACAO E CONTROLE	48					ESTAGIO CURRICULAR EM ENGENHARIA BIOMEDICA	0																																																																																																											LOGÍSTICA E MEIO AMBIENTE	24																										
		INSTRUMENTACAO E CONTROLE	48					ESTAGIO CURRICULAR EM ENGENHARIA DE ENERGIA	0																																																																																																											SENSORIAMENTO REMOTO	48																										
